"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/05/2025","0,723065","0,729180","0,730890","0,722470","","-0,84%"
"29/05/2025","0,729185","0,727480","0,730475","0,721500","","0,23%"
"28/05/2025","0,727485","0,726845","0,730665","0,725400","","0,09%"
"27/05/2025","0,726850","0,730220","0,733005","0,725905","","-0,46%"
"26/05/2025","0,730225","0,732210","0,735365","0,728740","","-0,27%"
"23/05/2025","0,732215","0,723465","0,733450","0,722370","","1,21%"
"22/05/2025","0,723465","0,727360","0,728430","0,721050","","-0,54%"
"21/05/2025","0,727360","0,717495","0,731390","0,717120","","1,37%"
"20/05/2025","0,717500","0,719655","0,720260","0,715660","","-0,30%"
"19/05/2025","0,719655","0,714730","0,721125","0,713440","","0,69%"
"16/05/2025","0,714725","0,715310","0,720955","0,712485","","-0,08%"
"15/05/2025","0,715310","0,710075","0,719715","0,707785","","0,74%"
"14/05/2025","0,710065","0,705715","0,719905","0,702895","","0,62%"
"13/05/2025","0,705715","0,705700","0,710475","0,699720","","0,00%"
"12/05/2025","0,705695","0,716250","0,718325","0,701475","","-1,47%"
"09/05/2025","0,716245","0,711830","0,717170","0,706340","","0,62%"
"08/05/2025","0,711830","0,715100","0,718515","0,710750","","-0,46%"
"07/05/2025","0,715110","0,726850","0,727120","0,712800","","-1,62%"
"06/05/2025","0,726850","0,727070","0,728265","0,718960","","-0,03%"
"05/05/2025","0,727080","0,714330","0,732595","0,714050","","1,78%"
"02/05/2025","0,714335","0,696335","0,718990","0,694460","","2,58%"
"01/05/2025","0,696335","0,701905","0,703130","0,694870","","-0,79%"
"30/04/2025","0,701905","0,698250","0,704655","0,697220","","0,52%"
"29/04/2025","0,698250","0,695965","0,698890","0,693465","","0,33%"
"28/04/2025","0,695970","0,695230","0,697000","0,691180","","0,11%"
"25/04/2025","0,695230","0,698790","0,699210","0,692395","","-0,51%"
"24/04/2025","0,698790","0,700560","0,701300","0,694470","","-0,25%"
"23/04/2025","0,700560","0,699200","0,704265","0,698455","","0,19%"
"22/04/2025","0,699200","0,702915","0,705410","0,698970","","-0,53%"
"21/04/2025","0,702915","0,703715","0,707110","0,702490","","0,07%"
"18/04/2025","0,702415","0,704745","0,705095","0,701250","","-0,37%"
"17/04/2025","0,705015","0,706605","0,707140","0,702380","","-0,23%"
"16/04/2025","0,706605","0,700275","0,708015","0,697960","","0,90%"
"15/04/2025","0,700305","0,704015","0,704615","0,698325","","-0,53%"
"14/04/2025","0,704015","0,703700","0,705935","0,698295","","0,04%"
"11/04/2025","0,703700","0,687815","0,705255","0,685925","","2,31%"
"10/04/2025","0,687795","0,691580","0,691580","0,682110","","-0,49%"
"09/04/2025","0,691175","0,672450","0,692195","0,671890","","2,78%"
"08/04/2025","0,672450","0,679845","0,682050","0,672130","","-1,09%"
"07/04/2025","0,679845","0,685155","0,686470","0,679205","","-0,78%"
"04/04/2025","0,685160","0,688855","0,699195","0,683395","","-0,54%"
"03/04/2025","0,688855","0,682060","0,689735","0,678860","","0,93%"
"02/04/2025","0,682500","0,679835","0,684820","0,678260","","0,39%"
"01/04/2025","0,679835","0,678860","0,681610","0,676635","","0,14%"
"31/03/2025","0,678860","0,680080","0,681055","0,676895","","-0,18%"
"28/03/2025","0,680085","0,682455","0,683685","0,679535","","-0,33%"
"27/03/2025","0,682360","0,680810","0,683400","0,679390","","0,23%"
"26/03/2025","0,680810","0,683220","0,684215","0,679800","","-0,39%"
"25/03/2025","0,683475","0,681430","0,683475","0,679735","","0,30%"
"24/03/2025","0,681430","0,682080","0,684060","0,679915","","-0,25%"
"21/03/2025","0,683145","0,681625","0,684555","0,680525","","0,22%"
"20/03/2025","0,681625","0,686240","0,687125","0,679615","","-0,39%"
"19/03/2025","0,684295","0,689845","0,690075","0,683120","","-0,80%"
"18/03/2025","0,689840","0,692670","0,694015","0,686530","","-0,41%"
"17/03/2025","0,692670","0,688910","0,693315","0,688500","","0,51%"
"14/03/2025","0,689155","0,687500","0,689195","0,685700","","0,24%"
"13/03/2025","0,687500","0,689130","0,690285","0,685845","","-0,17%"
"12/03/2025","0,688700","0,688780","0,689985","0,686815","","-0,01%"
"11/03/2025","0,688780","0,685025","0,689810","0,684555","","0,55%"
"10/03/2025","0,684990","0,690125","0,691920","0,684590","","-0,68%"
"07/03/2025","0,689650","0,691080","0,693820","0,689575","","-0,17%"
"06/03/2025","0,690840","0,692565","0,695505","0,688225","","-0,14%"
"05/03/2025","0,691800","0,687515","0,692615","0,683685","","0,58%"
"04/03/2025","0,687830","0,685420","0,688115","0,683180","","0,35%"
"03/03/2025","0,685420","0,684085","0,686960","0,683655","","0,20%"